"","ID","Name","Age","Boarded","Position","Lifeboat","Body","Sex","Class","Group","Survived","Adult","cClass0","cClass1","cClass2","cClass3","cSex","cSurvived","cAdult"
"23",23,"Mr. John Richard Fry",39,"S","valet","","0","m",1,"1classServ",0,"1",0,19,4,0,14,16,46
"24",24,"Mr. William Henry Harrison",45,"S","secretary","","1","m",1,"1classServ",0,"1",0,20,4,0,14,16,48
"25",25,"Miss Roberta Elizabeth Mary ""Cissy"" Maioni",20,"S","maid","8","0","f",1,"1classServ",1,"1",0,21,4,0,15,17,50
"26",26,"Mr. Charles Henry Harrington",37,"S","valet","","0","m",1,"1classServ",0,"1",0,22,4,0,15,17,52
"27",27,"Doña Fermina Oliva y Ocana",39,"C","maid","8","0","f",1,"1classServ",1,"1",0,23,4,0,16,18,54
"28",28,"Miss Emilie Kreuchen",29,"S","maid","2","0","f",1,"1classServ",1,"1",0,24,4,0,17,19,56
"29",29,"Miss Victorine Chaudanson",36,"C","maid","4","0","f",1,"1classServ",1,"1",0,25,4,0,18,20,58
"30",30,"Miss Grace Scott Bowen",45,"C","governess","4","0","f",1,"1classServ",1,"1",0,26,4,0,19,21,60
"31",31,"Miss Helen Alice Wilson",31,"C","maid","3","0","f",1,"1classServ",1,"1",0,27,4,0,20,22,62
"32",32,"Miss Elizabeth Margaret Burns",41,"C","nurse","3","0","f",1,"1classServ",1,"1",0,28,4,0,21,23,64
"33",33,"Miss Eugenie Elise Lurette",59,"C","maid","6","0","f",1,"1classServ",1,"1",0,29,4,0,22,24,66
"34",34,"Miss Amelie ""Amelia"" Icard",38,"S","maid","6","0","f",1,"1classServ",1,"1",0,30,4,0,23,25,68
"35",35,"Mr. John Farthing",57,"S","valet","","0","m",1,"1classServ",0,"1",0,31,4,0,23,25,70
"36",36,"Miss Ellen Bird",31,"S","maid","8","0","f",1,"1classServ",1,"1",0,32,4,0,24,26,72
"37",37,"Miss Margaret Fleming",42,"C","maid","4","0","f",1,"1classServ",1,"1",0,33,4,0,25,27,74
"38",38,"Miss Amelia Mayo ""Nellie"" Bessette",39,"C","maid","8","0","f",1,"1classServ",1,"1",0,34,4,0,26,28,76
"39",39,"Mr. Sante Righini",22,"C","manservant","","1","m",1,"1classServ",0,"1",0,35,4,0,26,28,78
"40",40,"Mr. Edwin Herbert Keeping",33,"S","valet","","1","m",1,"1classServ",0,"1",0,36,4,0,26,28,80
"41",41,"Miss Amalie Henriette ""Emily"" Gieger",35,"S","maid","4","0","f",1,"1classServ",1,"1",0,37,4,0,27,29,82
"42",42,"Allen, Miss Elizabeth Walton",29,"S","1classPass","2","0","f",1,"1c0ser",1,"1",0,38,4,0,28,30,84
"43",43,"Allison, Miss Helen Loraine",2,"S","1classPass","","0","f",1,"1c0ser",0,"0",0,39,4,0,29,30,85
"44",44,"Anderson, Mr. Harry",47,"S","1classPass","3","0","m",1,"1c0ser",1,"1",0,40,4,0,29,31,87
"45",45,"Andrews, Miss Kornelia Theodosia",62,"C","1classPass","10","0","f",1,"1c0ser",1,"1",0,41,4,0,30,32,89
"46",46,"Andrews, Mr. Thomas",39,"B","1classPass","","0","m",1,"1c0ser",0,"1",0,42,4,0,30,32,91
"47",47,"Appleton, Mrs. Charlotte Lane (née Lamson)",53,"S","1classPass","2","0","f",1,"1c0ser",1,"1",0,43,4,0,31,33,93
"48",48,"Artagaveytia, Mr. Ramon",71,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,44,4,0,31,33,95
"49",49,"Astor, Colonel John Jacob IV",47,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,45,4,0,31,33,97
"50",50,"Barkworth, Mr. Algernon Henry Wilson",47,"S","1classPass","B","0","m",1,"1c0ser",1,"1",0,46,4,0,31,34,99
"51",51,"Baumann, Mr. John D.",60,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,47,4,0,31,34,101
"52",52,"Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,48,4,0,32,35,103
"53",53,"Baxter, Mr. Quigg Edmond",24,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,49,4,0,32,35,105
"54",54,"Beattie, Mr. Thomson",36,"S","1classPass","A[68]","1","m",1,"1c0ser",1,"1",0,50,4,0,32,36,107
"55",55,"Beckwith, Mr. Richard Leonard",37,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,51,4,0,32,37,109
"56",56,"Beckwith, Mrs. Sallie (née Monypeny)",46,"S","1classPass","5","0","f",1,"1c0ser",1,"1",0,52,4,0,33,38,111
"57",57,"Behr, Mr. Karl Howell",26,"C","1classPass","5","0","m",1,"1c0ser",1,"1",0,53,4,0,33,39,113
"58",58,"Birnbaum, Mr. Jakob",24,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,54,4,0,33,39,115
"59",59,"Bishop, Mr. Dickinson H. ""Dick""",25,"C","1classPass","7","0","m",1,"1c0ser",1,"1",0,55,4,0,33,40,117
"60",60,"Bishop, Mrs. Helen (née Walton)",19,"C","1classPass","7","0","f",1,"1c0ser",1,"1",0,56,4,0,34,41,119
"61",61,"Björnström-Steffansson, Mr. Mauritz Håkan",28,"S","1classPass","D","0","m",1,"1c0ser",1,"1",0,57,4,0,34,42,121
"62",62,"Blackwell, Mr. Stephen Weart",45,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,58,4,0,34,42,123
"63",63,"Blank, Mr. Henry",39,"C","1classPass","7","0","m",1,"1c0ser",1,"1",0,59,4,0,34,43,125
"64",64,"Bonnell, Miss Elizabeth",61,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,60,4,0,35,44,127
"65",65,"Bonnell, Miss Caroline",30,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,61,4,0,36,45,129
"66",66,"Borebank, Mr. John James",42,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,62,4,0,36,45,131
"67",67,"Bowerman, Miss Elsie Edith",22,"S","1classPass","6","0","f",1,"1c0ser",1,"1",0,63,4,0,37,46,133
"68",68,"Brady, Mr. John Bertram",41,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,64,4,0,37,46,135
"69",69,"Brandeis, Mr. Emil",48,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,65,4,0,37,46,137
"70",70,"Brereton, Mr. George Andrew (alias George A. Brayton)",37,"S","1classPass","9","0","m",1,"1c0ser",1,"1",0,66,4,0,37,47,139
"71",71,"Brewe, Dr. Arthur Jackson",45,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,67,4,0,37,47,141
"72",72,"Brown, Mrs. Caroline Lane (née Lamson)",59,"S","1classPass","D","0","f",1,"1c0ser",1,"1",0,68,4,0,38,48,143
"73",73,"Brown, Mrs. Margaret (née Tobin)",44,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,69,4,0,39,49,145
"74",74,"Butt, Major Archibald Willingham",46,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,70,4,0,39,49,147
"75",75,"Calderhead, Mr. Edward Pennington",42,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,71,4,0,39,50,149
"76",76,"Candee, Mrs. Helen Churchill (née Hungerford)",53,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,72,4,0,40,51,151
"77",77,"Carlsson, Mr. Frans Olof",33,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,73,4,0,40,51,153
"78",78,"Carrau, Mr. Francisco M.",31,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,74,4,0,40,51,155
"79",79,"Carrau, Mr. José Pedro",17,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,75,4,0,40,51,157
"80",80,"Carter, Miss Lucile Polk",13,"S","1classPass","4","0","f",1,"1c0ser",1,"0",0,76,4,0,41,52,158
"81",81,"Carter, Master William Thornton II",11,"S","1classPass","4","0","m",1,"1c0ser",1,"0",0,77,4,0,41,53,159
"82",82,"Case, Mr. Howard Brown",49,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,78,4,0,41,53,161
"83",83,"Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,"C","1classPass","5","0","f",1,"1c0ser",1,"1",0,79,4,0,42,54,163
"84",84,"Cavendish, Mr. Tyrell William",36,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,80,4,0,42,54,165
"85",85,"Chaffee, Mr. Herbert Fuller",46,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,81,4,0,42,54,167
"86",86,"Chaffee, Mrs. Carrie Constance (née Toogood)",47,"S","1classPass","4","0","f",1,"1c0ser",1,"1",0,82,4,0,43,55,169
"87",87,"Chambers, Mr. Norman Campbell",27,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,83,4,0,43,56,171
"88",88,"Chambers, Mrs. Bertha (née Griggs)",32,"S","1classPass","5","0","f",1,"1c0ser",1,"1",0,84,4,0,44,57,173
"89",89,"Cherry, Miss Gladys",30,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,85,4,0,45,58,175
"90",90,"Chevré, Mr. Paul Romaine Marie Léonce",45,"C","1classPass","7","0","m",1,"1c0ser",1,"1",0,86,4,0,45,59,177
"91",91,"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"S","1classPass","6","0","f",1,"1c0ser",1,"1",0,87,4,0,46,60,179
"92",92,"Chisholm, Mr. Roderick Robert Crispin",40,"B","1classPass","","0","m",1,"1c0ser",0,"1",0,88,4,0,46,60,181
"93",93,"Clark, Mr. Walter Miller",27,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,89,4,0,46,60,183
"94",94,"Clark, Mrs. Virginia Estelle (née McDowell)",26,"C","1classPass","4","0","f",1,"1c0ser",1,"1",0,90,4,0,47,61,185
"95",95,"Clifford, Mr. George Quincy",40,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,91,4,0,47,61,187
"96",96,"Colley, Mr. Edward Pomeroy",37,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,92,4,0,47,61,189
"97",97,"Compton, Mrs. Mary Eliza (née Ingersoll)",64,"C","1classPass","14","0","f",1,"1c0ser",1,"1",0,93,4,0,48,62,191
"98",98,"Compton, Miss Sara Rebecca",39,"C","1classPass","14","0","f",1,"1c0ser",1,"1",0,94,4,0,49,63,193
"99",99,"Compton, Mr. Alexander Taylor Jr.",37,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,95,4,0,49,63,195
"100",100,"Cornell, Mrs. Malvina Helen (née Lamson)",55,"S","1classPass","2","0","f",1,"1c0ser",1,"1",0,96,4,0,50,64,197
"101",101,"Crafton, Mr. John Bertram",59,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,97,4,0,50,64,199
"102",102,"Crosby, Captain Edward",70,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,98,4,0,50,64,201
"103",103,"Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,"S","1classPass","7","0","f",1,"1c0ser",1,"1",0,99,4,0,51,65,203
"104",104,"Crosby, Miss Harriette Rebecca",39,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,100,4,0,52,66,205
"105",105,"Cumings, Mr. John Bradley",39,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,101,4,0,52,66,207
"106",106,"Cumings, Mrs. Florence Briggs (née Thayer)",35,"C","1classPass","4","0","f",1,"1c0ser",1,"1",0,102,4,0,53,67,209
"107",107,"Daly, Mr. Peter Dennis",51,"S","1classPass","A","0","m",1,"1c0ser",1,"1",0,103,4,0,53,68,211
"108",108,"Daniel, Mr. Robert Williams",27,"S","1classPass","3","0","m",1,"1c0ser",1,"1",0,104,4,0,53,69,213
"109",109,"Davidson, Mr. Thornton",31,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,105,4,0,53,69,215
"110",110,"Davidson, Mrs. Orian (née Hays)",27,"S","1classPass","3","0","f",1,"1c0ser",1,"1",0,106,4,0,54,70,217
"111",111,"Dick, Mr. Albert Adrian",31,"S","1classPass","3","0","m",1,"1c0ser",1,"1",0,107,4,0,54,71,219
"112",112,"Dick, Mrs. Vera (née Gillespie)",17,"S","1classPass","3","0","f",1,"1c0ser",1,"1",0,108,4,0,55,72,221
"113",113,"Dodge, Dr. Washington",52,"S","1classPass","13","0","m",1,"1c0ser",1,"1",0,109,4,0,55,73,223
"114",114,"Dodge, Mrs. Ruth (née Vidaver)",34,"S","1classPass","5","0","f",1,"1c0ser",1,"1",0,110,4,0,56,74,225
"115",115,"Dodge, Master Washington, Jr.",4,"S","1classPass","5","0","m",1,"1c0ser",1,"0",0,111,4,0,56,75,226
"116",116,"Douglas, Mr. Walter Donald",50,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,112,4,0,56,75,228
"117",117,"Douglas, Mrs. Mary Hélène (née Baxter)",27,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,113,4,0,57,76,230
"118",118,"Duff Gordon, Sir Cosmo Edmund",49,"C","1classPass","1","0","m",1,"1c0ser",1,"1",0,114,4,0,57,77,232
"119",119,"Dulles, Mr. William Crothers",39,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,115,4,0,57,77,234
"120",120,"Eustis, Miss Elizabeth Mussey",54,"C","1classPass","4","0","f",1,"1c0ser",1,"1",0,116,4,0,58,78,236
"121",121,"Evans, Miss Edith Corse",36,"C","1classPass","","0","f",1,"1c0ser",0,"1",0,117,4,0,59,78,238
"122",122,"Flegenheim, Mrs. Antoinette (née Wendt)",48,"C","1classPass","7","0","f",1,"1c0ser",1,"1",0,118,4,0,60,79,240
"123",123,"Flynn, Mr. John Irwin",36,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,119,4,0,60,80,242
"124",124,"Foreman, Mr. Benjamin Laventall",30,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,120,4,0,60,80,244
"125",125,"Fortune, Mr. Mark",64,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,121,4,0,60,80,246
"126",126,"Fortune, Mrs. Mary (née McDougald)",60,"S","1classPass","10","0","f",1,"1c0ser",1,"1",0,122,4,0,61,81,248
"127",127,"Fortune, Miss Ethel Flora",28,"S","1classPass","10","0","f",1,"1c0ser",1,"1",0,123,4,0,62,82,250
"128",128,"Fortune, Miss Alice Elizabeth",24,"S","1classPass","10","0","f",1,"1c0ser",1,"1",0,124,4,0,63,83,252
"129",129,"Fortune, Miss Mabel Helen",23,"S","1classPass","10","0","f",1,"1c0ser",1,"1",0,125,4,0,64,84,254
"130",130,"Fortune, Mr. Charles Alexander",19,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,126,4,0,64,84,256
"131",131,"Franklin, Mr. Thomas Parnham",37,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,127,4,0,64,84,258
"132",132,"Frauenthal, Dr. Henry William",49,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,128,4,0,64,85,260
"133",133,"Frauenthal, Mrs. Clara (née Heinsheimer)",42,"S","1classPass","5","0","f",1,"1c0ser",1,"1",0,129,4,0,65,86,262
"134",134,"Frauenthal, Mr. Isaac Gerald",43,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,130,4,0,65,87,264
"135",135,"Frölicher, Mr. Maximilian Josef",60,"C","1classPass","5","0","m",1,"1c0ser",1,"1",0,131,4,0,65,88,266
"136",136,"Frölicher, Mrs. Margaretha Emerentia (née Stehli)",48,"C","1classPass","5","0","f",1,"1c0ser",1,"1",0,132,4,0,66,89,268
"137",137,"Frölicher-Stehli, Miss Hedwig Margaritha",22,"C","1classPass","5","0","f",1,"1c0ser",1,"1",0,133,4,0,67,90,270
"138",138,"Futrelle, Mr. Jacques Heath",37,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,134,4,0,67,90,272
"139",139,"Futrelle, Mrs. Lily May (née Peel)",35,"S","1classPass","D","0","f",1,"1c0ser",1,"1",0,135,4,0,68,91,274
"140",140,"Gee, Mr. Arthur H.",47,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,136,4,0,68,91,276
"141",141,"Gibson, Mrs. Pauline Caroline (née Boeson)",44,"C","1classPass","","0","f",1,"1c0ser",0,"1",0,137,4,0,69,91,278
"142",142,"Gibson, Miss Dorothy Winifred",22,"C","1classPass","7","0","f",1,"1c0ser",1,"1",0,138,4,0,70,92,280
"143",143,"Goldenberg, Mr. Samuel L.",47,"C","1classPass","5","0","m",1,"1c0ser",1,"1",0,139,4,0,70,93,282
"144",144,"Goldenberg, Mrs. Nella (née Wiggins)",40,"C","1classPass","","0","f",1,"1c0ser",0,"1",0,140,4,0,71,93,284
"145",145,"Goldschmidt, Mr. George B.",71,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,141,4,0,71,93,286
"146",146,"Gracie IV, Colonel Archibald",53,"S","1classPass","B","0","m",1,"1c0ser",1,"1",0,142,4,0,71,94,288
"147",147,"Graham, Mr. George Edward",38,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,143,4,0,71,94,290
"148",148,"Graham, Mrs. Edith Ware (née Junkins)",59,"S","1classPass","3","0","f",1,"1c0ser",1,"1",0,144,4,0,72,95,292
"149",149,"Greenfield, Mrs. Blanche (née Strouse)",45,"C","1classPass","7","0","f",1,"1c0ser",1,"1",0,145,4,0,73,96,294
"150",150,"Greenfield, Mr. William Bertram",23,"C","1classPass","7","0","m",1,"1c0ser",1,"1",0,146,4,0,73,97,296
"151",151,"Harder, Mr. George Achilles",25,"C","1classPass","5","0","m",1,"1c0ser",1,"1",0,147,4,0,73,98,298
"152",152,"Harder, Mrs. Dorothy (née Annan)",21,"C","1classPass","5","0","f",1,"1c0ser",1,"1",0,148,4,0,74,99,300
"153",153,"Harper, Mrs. Myna (née Haxtun)",49,"C","1classPass","3","0","f",1,"1c0ser",1,"1",0,149,4,0,75,100,302
"154",154,"Harris, Mr. Henry Birkhardt",45,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,150,4,0,75,100,304
"155",155,"Harris, Mrs. Irene (née Wallach)",35,"S","1classPass","D","0","f",1,"1c0ser",1,"1",0,151,4,0,76,101,306
"156",156,"Hawksford, Mr. Walter James",45,"S","1classPass","3","0","m",1,"1c0ser",1,"1",0,152,4,0,76,102,308
"157",157,"Hays, Miss Margaret Bechstein",24,"C","1classPass","7","0","f",1,"1c0ser",1,"1",0,153,4,0,77,103,310
"158",158,"Head, Mr. Christopher",42,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,154,4,0,77,103,312
"159",159,"Hilliard, Mr. Herbert Henry",44,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,155,4,0,77,103,314
"160",160,"Hipkins, Mr. William Edward",55,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,156,4,0,77,103,316
"161",161,"Hippach, Mrs. Ida Sophia (née Fischer)",44,"C","1classPass","4","0","f",1,"1c0ser",1,"1",0,157,4,0,78,104,318
"162",162,"Hippach, Miss Jean Gertrude",17,"C","1classPass","4","0","f",1,"1c0ser",1,"1",0,158,4,0,79,105,320
"163",163,"Hogeboom, Mrs. Anna Louisa (née Andrews)",51,"C","1classPass","10","0","f",1,"1c0ser",1,"1",0,159,4,0,80,106,322
"164",164,"Holverson, Mr. Alexander Oskar",42,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,160,4,0,80,106,324
"165",165,"Holverson, Mrs. Mary Aline (née Towner)",35,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,161,4,0,81,107,326
"166",166,"Homer, Mr. Harry (alias E. Haven)",40,"S","1classPass","15","0","m",1,"1c0ser",1,"1",0,162,4,0,81,108,328
"167",167,"Hoyt, Mr. Frederick Maxfield",35,"S","1classPass","D","0","m",1,"1c0ser",1,"1",0,163,4,0,81,109,330
"168",168,"Hoyt, Mrs. Jane Anne (née Forby)",31,"S","1classPass","D","0","f",1,"1c0ser",1,"1",0,164,4,0,82,110,332
"169",169,"Hoyt, Mr. William Fisher",42,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,165,4,0,82,110,334
"170",170,"Isham, Miss Ann Elizabeth",50,"C","1classPass","","0","f",1,"1c0ser",0,"1",0,166,4,0,83,110,336
"171",171,"Jones, Mr. Charles Cresson",46,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,167,4,0,83,110,338
"172",172,"Julian, Mr. Henry Forbes",50,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,168,4,0,83,110,340
"173",173,"Kent, Mr. Edward Austin",58,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,169,4,0,83,110,342
"174",174,"Kenyon, Mr. Frederick R.",41,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,170,4,0,83,110,344
"175",175,"Kenyon, Mrs. Marion (née Stauffer)",31,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,171,4,0,84,111,346
"176",176,"Kimball, Mr. Edwin Nelson Jr.",42,"S","1classPass","5","0","m",1,"1c0ser",1,"1",0,172,4,0,84,112,348
"177",177,"Kimball, Mrs. Gertrude (née Parsons)",45,"S","1classPass","5","0","f",1,"1c0ser",1,"1",0,173,4,0,85,113,350
"178",178,"Klaber, Mr. Herman",45,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,174,4,0,85,113,352
"179",179,"Lambert-Williams, Mr. Fletcher Fellows",43,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,175,4,0,85,113,354
"180",180,"Leader, Dr. Alice (née Farnham)",49,"S","1classPass","8","0","f",1,"1c0ser",1,"1",0,176,4,0,86,114,356
"181",181,"Lewy, Mr. Ervin G.",31,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,177,4,0,86,114,358
"182",182,"Lindeberg-Lind, Mr. Erik Gustav (alias Edward Lingrey)",42,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,178,4,0,86,114,360
"183",183,"Lindström, Mrs. Sigrid (née Posse)",55,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,179,4,0,87,115,362
"184",184,"Lines, Mrs. Elizabeth Lindsey (née James)",50,"C","1classPass","9","0","f",1,"1c0ser",1,"1",0,180,4,0,88,116,364
"185",185,"Lines, Miss Mary Conover",16,"C","1classPass","9","0","f",1,"1c0ser",1,"1",0,181,4,0,89,117,366
"186",186,"Long, Mr. Milton Clyde",29,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,182,4,0,89,117,368
"187",187,"Longley, Miss Gretchen Fiske",21,"C","1classPass","10","0","f",1,"1c0ser",1,"1",0,183,4,0,90,118,370
"188",188,"Loring, Mr. Joseph Holland",30,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,184,4,0,90,118,372
"189",189,"Madill, Miss Georgette Alexandra",16,"S","1classPass","2","0","f",1,"1c0ser",1,"1",0,185,4,0,91,119,374
"190",190,"Maguire, Mr. John Edward",30,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,186,4,0,91,119,376
"191",191,"Maréchal, Mr. Pierre, Sr.",28,"C","1classPass","7","0","m",1,"1c0ser",1,"1",0,187,4,0,91,120,378
"192",192,"Marvin, Mr. Daniel Warner",18,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,188,4,0,91,120,380
"193",193,"Marvin, Mrs. Mary Graham Carmichael (née Farquarson)",18,"S","1classPass","10","0","f",1,"1c0ser",1,"1",0,189,4,0,92,121,382
"194",194,"Mayné, Miss Bertha Antonine",24,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,190,4,0,93,122,384
"195",195,"McCaffry, Mr. Thomas Francis",46,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,191,4,0,93,122,386
"196",196,"McCarthy, Mr. Timothy J.",54,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,192,4,0,93,122,388
"197",197,"McGough, Mr. James Robert",35,"S","1classPass","7","0","m",1,"1c0ser",1,"1",0,193,4,0,93,123,390
"198",198,"Meyer, Mr. Edgar Joseph",28,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,194,4,0,93,123,392
"199",199,"Meyer, Mrs. Leila (née Saks)",25,"C","1classPass","6","0","f",1,"1c0ser",1,"1",0,195,4,0,94,124,394
"200",200,"Millet, Mr. Francis Davis",63,"C","1classPass","","1","m",1,"1c0ser",0,"1",0,196,4,0,94,124,396
"201",201,"Minahan, Dr. William Edward",44,"S","1classPass","","1","m",1,"1c0ser",0,"1",0,197,4,0,94,124,398
"202",202,"Minahan, Mrs. Lillian E. (née Thorpe)",37,"S","1classPass","14","0","f",1,"1c0ser",1,"1",0,198,4,0,95,125,400
"203",203,"Minahan, Miss Daisy E.",33,"S","1classPass","14","0","f",1,"1c0ser",1,"1",0,199,4,0,96,126,402
"204",204,"Mock, Mr. Philipp Edmund",30,"C","1classPass","11","0","m",1,"1c0ser",1,"1",0,200,4,0,96,127,404
"205",205,"Molson, Mr. Harry Markland",55,"S","1classPass","","0","m",1,"1c0ser",0,"1",0,201,4,0,96,127,406
"206",206,"Natsch, Mr. Charles",36,"C","1classPass","","0","m",1,"1c0ser",0,"1",0,202,4,0,96,127,408
